word1,word2,human_similarity,model_similarity
computer,keyboard,7.62,5.066961320117116
Jerusalem,Israel,8.46,5.358867794275284
planet,galaxy,8.11,4.686601273715496
canyon,landscape,7.53,5.169155485928059
OPEC,country,5.63,5.6976498663425446
day,summer,3.94,5.207657665014267
day,dawn,7.53,5.30456118285656
country,citizen,7.31,4.566295370459557
planet,people,5.75,4.584941081702709
environment,ecology,8.81,5.50374411046505
Maradona,football,8.62,4.900219244882464
OPEC,oil,8.59,5.613586381077766
money,bank,8.5,5.028282506391406
computer,software,8.5,4.176691249012947
law,lawyer,8.38,5.76668806374073
weather,forecast,8.34,5.258816387504339
network,hardware,8.31,4.5627084746956825
nature,environment,8.31,4.295532628893852
FBI,investigation,8.31,4.985063993372023
money,wealth,8.27,4.3552955240011215
psychology,Freud,8.21,4.521158039569855
news,report,8.16,5.650187358260155
war,troops,8.13,4.252967610955238
physics,proton,8.12,4.93557115085423
bank,money,8.12,5.028282506391406
stock,market,8.08,5.506925992667675
planet,constellation,8.06,5.65700925886631
credit,card,8.06,4.230803772807121
hotel,reservation,8.03,4.934358345344663
closet,clothes,8.0,5.814903825521469
soap,opera,7.94,5.162951238453388
planet,astronomer,7.94,5.148040056228638
planet,space,7.92,5.161369647830725
movie,theater,7.92,5.535577051341534
treatment,recovery,7.91,4.060399755835533
baby,mother,7.85,4.546981677412987
money,deposit,7.73,5.2571734972298145
television,film,7.72,5.288965962827206
psychology,mind,7.69,5.111523875966668
game,team,7.69,4.6450309827923775
admission,ticket,7.69,5.054458207450807
Jerusalem,Palestinian,7.65,5.762612447142601
Arafat,terror,7.65,4.60183959454298
boxing,round,7.61,4.999063637296786
computer,internet,7.58,5.84235705435276
money,property,7.57,4.792010392993689
tennis,racket,7.56,5.039846301078796
telephone,communication,7.5,4.688952881842852
currency,market,7.5,5.54580345749855
psychology,cognition,7.48,5.023772204294801
seafood,sea,7.47,6.44740417599678
book,paper,7.46,5.48144057393074
book,library,7.46,4.822607878595591
psychology,depression,7.42,5.9117549657821655
fighting,defeating,7.41,5.745974779129028
movie,star,7.38,4.463101886212826
hundred,percent,7.38,5.093353074043989
dollar,profit,7.38,3.913007527589798
money,possession,7.29,5.745012611150742
cup,drink,7.25,4.622292630374432
psychology,health,7.23,5.766666457056999
summer,drought,7.16,4.7622573003172874
investor,earning,7.13,5.585427433252335
company,stock,7.08,4.574429392814636
stroke,hospital,7.03,5.2248153276741505
liability,insurance,7.03,4.969913845416158
game,victory,7.03,4.80426087975502
psychology,anxiety,7.0,5.147933755069971
game,defeat,6.97,4.150397703051567
FBI,fingerprint,6.94,4.362500682473183
money,withdrawal,6.88,6.053846552968025
psychology,fear,6.85,4.895461238920689
drug,abuse,6.85,4.632093720138073
concert,virtuoso,6.81,5.122071532532573
computer,laboratory,6.78,4.9208249151706696
love,sex,6.77,4.466194771230221
problem,challenge,6.75,4.6509794145822525
movie,critic,6.73,4.534138776361942
Arafat,peace,6.73,4.911620765924454
bed,closet,6.72,5.02337857382372
lawyer,evidence,6.69,5.6775884330272675
fertility,egg,6.69,5.479838289320469
