word1,word2,human_similarity,model_similarity
computer,keyboard,7.62,6.188187897205353
Jerusalem,Israel,8.46,
planet,galaxy,8.11,5.5335573852062225
canyon,landscape,7.53,4.727391470223665
OPEC,country,5.63,
day,summer,3.94,6.748513430356979
day,dawn,7.53,5.637052729725838
country,citizen,7.31,6.663089096546173
planet,people,5.75,5.588683597743511
environment,ecology,8.81,
Maradona,football,8.62,
OPEC,oil,8.59,
money,bank,8.5,4.823898430913687
computer,software,8.5,6.317163705825806
law,lawyer,8.38,5.890932083129883
weather,forecast,8.34,8.21315199136734
network,hardware,8.31,7.147928327322006
nature,environment,8.31,5.6529441475868225
FBI,investigation,8.31,
money,wealth,8.27,4.977411387953907
psychology,Freud,8.21,
news,report,8.16,5.957114323973656
war,troops,8.13,
physics,proton,8.12,
bank,money,8.12,4.823898430913687
stock,market,8.08,5.6369562447071075
planet,constellation,8.06,
credit,card,8.06,8.254702389240265
hotel,reservation,8.03,4.321145415306091
closet,clothes,8.0,5.858646258711815
soap,opera,7.94,5.737760588526726
planet,astronomer,7.94,
planet,space,7.92,4.916325695812702
movie,theater,7.92,6.976359188556671
treatment,recovery,7.91,4.584781676530838
baby,mother,7.85,6.514774411916733
money,deposit,7.73,5.1679507084190845
television,film,7.72,4.790331330150366
psychology,mind,7.69,
game,team,7.69,6.119065657258034
admission,ticket,7.69,5.6683299690485
Jerusalem,Palestinian,7.65,
Arafat,terror,7.65,
boxing,round,7.61,5.395863093435764
computer,internet,7.58,7.186107933521271
money,property,7.57,5.296778604388237
tennis,racket,7.56,5.882408618927002
telephone,communication,7.5,7.5553959608078
currency,market,7.5,4.598540291190147
psychology,cognition,7.48,
seafood,sea,7.47,
book,paper,7.46,6.517209559679031
book,library,7.46,7.5408294796943665
psychology,depression,7.42,
fighting,defeating,7.41,5.024114097468555
movie,star,7.38,3.984505906701088
hundred,percent,7.38,7.402426451444626
dollar,profit,7.38,6.5186938643455505
money,possession,7.29,5.420879125595093
cup,drink,7.25,6.701514273881912
psychology,health,7.23,
summer,drought,7.16,6.616812348365784
investor,earning,7.13,6.077650934457779
company,stock,7.08,5.31373143196106
stroke,hospital,7.03,6.460258066654205
liability,insurance,7.03,5.078687537461519
game,victory,7.03,5.8728063106536865
psychology,anxiety,7.0,
game,defeat,6.97,5.011779165361077
FBI,fingerprint,6.94,
money,withdrawal,6.88,4.726465754210949
psychology,fear,6.85,
drug,abuse,6.85,4.435466751456261
concert,virtuoso,6.81,5.521501488983631
computer,laboratory,6.78,4.140792563557625
love,sex,6.77,5.472075417637825
problem,challenge,6.75,6.957278996706009
movie,critic,6.73,5.32746709883213
Arafat,peace,6.73,
bed,closet,6.72,6.735028773546219
lawyer,evidence,6.69,5.717171877622604
fertility,egg,6.69,
precedent,law,6.65,6.4684852957725525
minister,party,6.63,
psychology,clinic,6.58,
cup,coffee,6.58,6.615995168685913
water,seepage,6.56,6.300445050001144
government,crisis,6.56,6.704940348863602
space,world,6.53,5.998406633734703
dividend,calculation,6.48,
victim,emergency,6.47,4.691103640943766
luxury,car,6.47,5.395054817199707
tool,implement,6.46,6.026205867528915
competition,price,6.44,6.421174556016922
psychology,doctor,6.42,
gender,equality,6.41,5.631536543369293
listing,category,6.38,6.598907858133316
video,archive,6.34,5.874659046530724
oil,stock,6.34,4.893877785652876
governor,office,6.34,5.329520255327225
discovery,space,6.34,3.938082605600357
record,number,6.31,6.456008106470108
brother,monk,6.27,5.58863241225481
production,crew,6.25,6.442222446203232
nature,man,6.25,4.996892951312475
family,planning,6.25,6.201822534203529
disaster,area,6.25,6.371165961027145
food,preparation,6.22,5.850566327571869
preservation,world,6.19,6.021759808063507
movie,popcorn,6.19,6.1338236182928085
lover,quarrel,6.19,6.095400750637054
game,series,6.19,4.868931453675032
dollar,loss,6.09,5.423907153308392
weapon,secret,6.06,6.89697727560997
shower,flood,6.03,4.075699001550674
registration,arrangement,6.0,5.6797996908426285
arrival,hotel,6.0,4.927555839531124
announcement,warning,6.0,7.220898121595383
game,round,5.97,4.672999605536461
baseball,season,5.97,7.348632663488388
drink,mouth,5.96,6.327665448188782
life,lesson,5.94,4.255431145429611
grocery,money,5.94,5.601447448134422
energy,crisis,5.94,5.883801355957985
reason,criterion,5.91,5.256292037665844
equipment,maker,5.91,5.867774412035942
cup,liquid,5.9,6.316913664340973
deployment,withdrawal,5.88,6.960800588130951
tiger,zoo,5.87,5.503185614943504
journey,car,5.85,6.780263930559158
money,laundering,5.65,
summer,nature,5.63,5.174986086785793
decoration,valor,5.63,
Mars,scientist,5.63,
alcohol,chemistry,5.54,7.24209725856781
disability,death,5.47,5.670424103736877
change,attitude,5.44,4.747285079210997
arrangement,accommodation,5.41,6.236618682742119
territory,surface,5.34,4.635805115103722
size,prominence,5.31,
exhibit,memorabilia,5.31,
credit,information,5.31,6.062059551477432
territory,kilometer,5.28,
death,row,5.25,4.306686669588089
doctor,liability,5.19,5.527053028345108
impartiality,interest,5.16,
energy,laboratory,5.09,5.859413295984268
secretary,senate,5.06,
death,inmate,5.03,
monk,oracle,5.0,
cup,food,5.0,5.654390677809715
journal,association,4.97,6.386032849550247
street,children,4.94,6.1142051964998245
car,flight,4.94,6.4450328052043915
space,chemistry,4.88,4.820822905749083
situation,conclusion,4.81,6.178035289049149
word,similarity,4.75,6.0301125049591064
peace,plan,4.75,4.825470056384802
consumer,energy,4.75,6.871483474969864
ministry,culture,4.69,
smart,student,4.62,5.909791141748428
investigation,effort,4.59,5.259904079139233
image,surface,4.56,5.996763706207275
life,term,4.5,6.278859078884125
start,match,4.47,5.4314180091023445
computer,news,4.47,5.275542885065079
board,recommendation,4.47,5.025496082380414
lad,brother,4.46,6.5460993349552155
observation,architecture,4.38,5.023753067944199
coast,hill,4.38,7.17961847782135
deployment,departure,4.25,6.805041581392288
benchmark,index,4.25,4.430968873202801
attempt,peace,4.25,4.337480515241623
consumer,confidence,4.13,6.328092664480209
start,year,4.06,4.4913175329566
focus,life,4.06,5.5790916830301285
development,issue,3.97,5.609815418720245
theater,history,3.91,5.4206458106637
situation,isolation,3.88,5.699637159705162
profit,warning,3.88,6.035449504852295
media,trading,3.88,6.068699508905411
chance,credibility,3.88,5.790074095129967
precedent,information,3.85,5.960537642240524
architecture,century,3.78,5.146315060555935
population,development,3.75,6.177336573600769
stock,live,3.73,5.178036168217659
peace,atmosphere,3.69,4.695075899362564
morality,marriage,3.69,
minority,peace,3.69,5.010305488249287
atmosphere,landscape,3.69,4.625324122607708
report,gain,3.63,6.062334775924683
music,project,3.63,6.195688396692276
seven,series,3.56,4.9418486608192325
experience,music,3.47,5.727125257253647
school,center,3.44,5.18413957208395
five,month,3.38,5.668782740831375
announcement,production,3.38,5.672451704740524
morality,importance,3.31,
money,operation,3.31,4.358010366559029
delay,news,3.31,6.225852891802788
governor,interview,3.25,6.968222409486771
practice,institution,3.19,
century,nation,3.16,5.550333261489868
coast,forest,3.15,7.1605947613716125
shore,woodland,3.08,
drink,car,3.04,6.839896589517593
president,medal,3.0,5.765051394701004
prejudice,recognition,3.0,5.395355336368084
viewer,serial,2.97,5.955863744020462
peace,insurance,2.94,5.859566405415535
Mars,water,2.94,
media,gain,2.88,5.761871337890625
precedent,cognition,2.81,6.158333867788315
announcement,effort,2.75,5.188332907855511
line,insurance,2.69,4.8764624912291765
crane,implement,2.69,
drink,mother,2.65,6.0726891458034515
opera,industry,2.63,6.757778972387314
volunteer,motto,2.56,5.84387369453907
listing,proximity,2.56,5.739332139492035
precedent,collection,2.5,4.8755633272230625
cup,article,2.4,5.163179282099009
sign,recess,2.38,5.0402835151180625
problem,airport,2.38,5.27812585234642
reason,hypertension,2.31,
direction,combination,2.25,5.486014299094677
Wednesday,news,2.22,
glass,magician,2.08,4.904696904122829
cemetery,woodland,2.08,
possibility,girl,1.94,4.254061654210091
cup,substance,1.92,5.787050575017929
forest,graveyard,1.85,6.792093813419342
stock,egg,1.81,4.462242946028709
month,hotel,1.81,4.876824785023928
energy,secretary,1.81,5.50079520791769
precedent,group,1.77,6.164426803588867
production,hike,1.75,5.027635821606964
stock,phone,1.62,5.635059624910355
holy,sex,1.62,6.368492394685745
stock,CD,1.31,
drink,ear,1.31,5.945218279957771
delay,racism,1.19,
stock,life,0.92,7.09609717130661
stock,jaguar,0.92,5.148246483877301
monk,slave,0.92,4.57826804369688
lad,wizard,0.92,6.55693382024765
sugar,approach,0.88,6.054202169179916
rooster,voyage,0.62,6.297696828842163
noon,string,0.54,4.355570152401924
chord,smile,0.54,4.959100061096251
professor,cucumber,0.31,
king,cabbage,0.23,
